,gdp_constant,inflation,exports,gross_capital_formation,government_expenditure,trade_balance,population,urban_population,gni_per_capita,interest_rate,fdi_inflows,external_debt,services_value_added,country,gdp_growth_yoy,gdp_constant_lag1,gdp_constant_lag2,gdp_constant_lag4,inflation_lag1,inflation_lag2,inflation_lag4,interest_rate_lag1,interest_rate_lag2,interest_rate_lag4,gdp_growth_yoy_lag1,gdp_growth_yoy_lag4,trade_gdp_ratio,gov_gdp_ratio,gdp_growth_yoy_ma4,inflation_ma4,gdp_constant_diff,gdp_volatility_4q,gdp_momentum,high_volatility_regime
2000-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2000-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2000-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2000-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2001-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2001-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2001-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2001-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2002-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2002-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2002-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2002-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2003-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2003-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2003-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2003-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2004-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2004-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2004-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2004-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2005-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2005-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2005-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2005-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2006-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2006-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2006-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2006-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2007-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2007-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2007-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2007-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2008-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2008-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2008-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2008-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2009-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2009-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2009-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2009-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2010-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2010-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2010-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2010-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2011-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2011-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2011-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2011-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2012-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2012-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2012-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2012-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2013-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2013-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2013-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2013-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2014-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2014-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2014-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2014-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2015-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2015-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2015-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2015-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2016-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2016-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2016-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2016-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2017-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2017-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2017-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2017-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2018-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2018-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2018-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2018-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2019-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2019-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2019-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2019-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2020-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2020-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2020-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2020-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2021-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2021-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2021-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2021-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2022-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2022-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2022-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2022-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2023-03-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2023-06-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2023-09-30,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
2023-12-31,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,0
